year,Time,CO2,Temp
1959,0,315.97,0.06
1960,1,316.91,-0.01
1961,2,317.64,0.07
1962,3,318.45,0.04
1963,4,318.99,0.08
1964,5,319.62,-0.21
1965,6,320.04,-0.12
1966,7,321.38,-0.03
1967,8,322.16,0
1968,9,323.04,-0.05
1969,10,324.62,0.08
1970,11,325.68,0.03
1971,12,326.32,-0.11
1972,13,327.45,-0.01
1973,14,329.68,0.14
1974,15,330.18,-0.08
1975,16,331.08,-0.04
1976,17,332.05,-0.15
1977,18,333.78,0.13
1978,19,335.41,0.04
1979,20,336.78,0.1
1980,21,338.68,0.2
1981,22,340.1,0.27
1982,23,341.44,0.05
1983,24,343.03,0.26
1984,25,344.58,0.1
1985,26,346.04,0.05
1986,27,347.39,0.13
1987,28,349.16,0.28
1988,29,351.56,0.33
1989,30,353.07,0.21
1990,31,354.35,0.36
1991,32,355.57,0.35
1992,33,356.38,0.13
1993,34,357.07,0.14
1994,35,358.82,0.24
1995,36,360.8,0.39
1996,37,362.59,0.3
1997,38,363.71,0.41
1998,39,366.65,0.58
1999,40,368.33,0.33
2000,41,369.52,0.35
2001,42,371.13,0.49
2002,43,373.22,0.57
2003,44,375.77,0.56
2004,45,377.49,0.49
2005,46,379.8,0.62
2006,47,381.9,0.55
2007,48,383.76,0.58
2008,49,385.59,0.44
2009,50,387.38,0.57
2010,51,389.78,0.63
2011,52,391.57,0.51
